"Prioritisation","ID","Date Added","Date of Publishing","Summary","Data Source","Probability of UK alert","Product Category","Raw Product Phrase","Commodity / Product","Country of Origin","Notified by","Hazard Description","Hazard Group","Incident Title","Alert Type","Link","Food, Feed or FCM","Manufacturer","Brand","Organisations","Source Type","Is A Food Article","Eu/non-EU Country of Origin","EU/non-EU Notifying Country"
"HIGH","222494","2020-07-10","2020-07-09","salmonella: processed animal proteins for petfood","RASFF","0","feed materials","processed animal proteins for petfood","pet food","Spain","Italy","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in processed animal proteins for petfood from Spain","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2783","feed",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222500","2020-07-10","2020-07-09","celery: sb golden curry medium hot sauce mix","UK_updated_FAR","0","soups, broths, sauces and condiments","sb golden curry medium hot sauce mix","curry sauce mix","United Kingdom","United Kingdom","celery","allergens","JFC (UK) recalls S&B Golden Curry Medium Hot Sauce Mix because of undeclared allergens","recall","https://www.food.gov.uk/news-alerts/alert/fsa-aa-43-2020","food",NA,NA,"S&B Golden Curry Medium, Hot Sauce Mix, UK) Ltd, JFC","Official","Yes","EU","EU"
"HIGH","222501","2020-07-10","2020-07-09","pmn kacang wangi brand peanut cracker: crackers","New_Zealand_FAR","0","cereals and bakery products","crackers","cracker","New Zealand","New Zealand","pmn kacang wangi brand peanut cracker","allergens","PMN Kacang Wangi brand Peanut Cracker","recall","https://www.mpi.govt.nz/food-safety/food-recalls/recalled-food-products/pmn-kacang-wangi-brand-peanut-cracker/","food",NA,NA,"Natural Field Enterprises Ltd, Peanut Cracker","Official","Yes","non_EU","non_EU"
"HIGH","222495","2020-07-10","2020-07-08","certified analytical report: whole fig and walnut preserve","RASFF","0","fruits and vegetables","whole fig and walnut preserve","walnut","Turkey","United Kingdom","certified analytical report","Fraud","absence of health certificate(s), of certified analytical report and of common health entry document (CHED) for whole fig and walnut preserve from Turkey","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.1882","food",NA,NA,"CHED","Official","Yes","non_EU","EU"
"HIGH","222498","2020-07-10","2020-07-08","salmonella: frozen pet food","RASFF","0","pet food","frozen pet food","pet food","United Kingdom","Croatia","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in frozen pet food from the United Kingdom","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2777","feed",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222499","2020-07-10","2020-07-08","common health entry document: mussels and oysters powder","RASFF","0","bivalve molluscs and products thereof","mussels and oysters powder","mussel","New Zealand","France","common health entry document","Fraud","absence of common health entry document (CHED) for mussels and oysters powder from New Zealand","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2768","food",NA,NA,"CHED","Official","Yes","non_EU","EU"
"HIGH","222465-22465","2020-07-10","2020-07-07","allergen  sulphites: wild mustard with wine","Canada_FAR","0","wine","wild mustard with wine","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage and Forbes Wild Foods brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07-r13905/eng/1594311299690/1594311300033","food","gourmet sauvage","gourmet sauvage","Forbes Wild Foods","Official","Yes","non_EU","non_EU"
"HIGH","222466-22465","2020-07-10","2020-07-07","allergen  sulphites: wild salicornia mustard","Canada_FAR","0","fruits and vegetables","wild salicornia mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage and Forbes Wild Foods brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07-r13905/eng/1594311299690/1594311300033","food","gourmet sauvage","gourmet sauvage","Forbes Wild Foods","Official","Yes","non_EU","non_EU"
"HIGH","222467-22465","2020-07-10","2020-07-07","allergen  sulphites: wild saskatoon mustard","Canada_FAR","0","fruits and vegetables","wild saskatoon mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage and Forbes Wild Foods brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07-r13905/eng/1594311299690/1594311300033","food","gourmet sauvage","gourmet sauvage","Wild Saskatoon, Forbes Wild Foods","Official","Yes","non_EU","non_EU"
"HIGH","222468-22465","2020-07-10","2020-07-07","allergen  sulphites: wild mustard","Canada_FAR","0","fruits and vegetables","wild mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage and Forbes Wild Foods brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07-r13905/eng/1594311299690/1594311300033","food","gourmet sauvage","gourmet sauvage","Forbes Wild Foods","Official","Yes","non_EU","non_EU"
"HIGH","222469-22465","2020-07-10","2020-07-07","allergen  sulphites: wild mushroom mustard","Canada_FAR","0","fruits and vegetables","wild mushroom mustard","mushroom","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage and Forbes Wild Foods brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07-r13905/eng/1594311299690/1594311300033","food","gourmet sauvage","gourmet sauvage","Forbes Wild Foods, Wild Mushroom","Official","Yes","non_EU","non_EU"
"HIGH","222470-22470","2020-07-10","2020-07-06","allergen  sulphites: sakatoon berry mustard","Canada_FAR","0","fruits and vegetables","sakatoon berry mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-06-r13896/eng/1594310505408/1594310512130","food","gourmet sauvage","gourmet sauvage","","Official","Yes","non_EU","non_EU"
"HIGH","222471-22470","2020-07-10","2020-07-06","allergen  sulphites: wild mushroom mustard","Canada_FAR","0","fruits and vegetables","wild mushroom mustard","mushroom","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-06-r13896/eng/1594310505408/1594310512130","food","gourmet sauvage","gourmet sauvage","Wild Mushroom","Official","Yes","non_EU","non_EU"
"HIGH","222472-22470","2020-07-10","2020-07-06","allergen  sulphites: sea asparagus mustard","Canada_FAR","0","fruits and vegetables","sea asparagus mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-06-r13896/eng/1594310505408/1594310512130","food","gourmet sauvage","gourmet sauvage","","Official","Yes","non_EU","non_EU"
"HIGH","222473-22470","2020-07-10","2020-07-06","allergen  sulphites: balsam fir mustard","Canada_FAR","0","fruits and vegetables","balsam fir mustard","mustard","Canada","Canada","allergen  sulphites","allergens","Food Recall Warning (Allergen) - Gourmet Sauvage brand mustard products recalled due to undeclared sulphites","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-06-r13896/eng/1594310505408/1594310512130","food","gourmet sauvage","gourmet sauvage","","Official","Yes","non_EU","non_EU"
"HIGH","222439","2020-07-09","2020-07-08","taco bell hepatitis exposure: ","Food_Poisoning_Bulletin","0",NA,"",NA,"USA","USA","taco bell hepatitis exposure","pathogenic micro-organisms","Taco Bell Hepatitis A Exposure On Erie Blvd. in Rome, New York","outbreak","https://foodpoisoningbulletin.com/2020/taco-bell-hepatitis-a-exposure-on-erie-blvd-in-rome-new-york/","food",NA,NA,"Taco Bell, Taco Bell Hepatitis, the Oneida County Health Department","Others","Yes","non_EU","non_EU"
"HIGH","222442","2020-07-09","2020-07-08","salmonella: chorizo fort brand leader price","France_Oulah_FAR","0","meat and meat products (other than poultry)","chorizo fort brand leader price","meat product","France","France","salmonella","pathogenic micro-organisms","Recall product : Chorizo fort 225g brand Leader Price","recall","https://www.oulah.fr/rappel-produit-chorizo-fort-225g-de-marque-leader-price/","food",NA,NA,"Barcode 3263859482411, Stamp, DLC","Others","Yes","EU","EU"
"HIGH","222443","2020-07-09","2020-07-08","salmonella: chorizo fort brand casino","France_Oulah_FAR","0","meat and meat products (other than poultry)","chorizo fort brand casino","meat product","France","France","salmonella","pathogenic micro-organisms","Recall product : Chorizo fort 225g brand CASINO","recall","https://www.oulah.fr/rappel-produit-chorizo-fort-225g-de-marque-casino/","food",NA,NA,"Batch 16902271, Barcode 3222475734892","Others","Yes","EU","EU"
"HIGH","222444","2020-07-09","2020-07-08","the allergen milk: fresh eggs","France_Oulah_FAR","0","eggs and egg products","fresh eggs","egg","France","France","the allergen milk","allergens","Recall product : Madeleine shell, fresh eggs from Carrefour brand","recall","https://www.oulah.fr/rappel-produit-madeleine-coquille-aux-oeufs-frais-de-marque-carrefour/","food",NA,NA,"Carrefour","Others","Yes","EU","EU"
"HIGH","222446","2020-07-09","2020-07-08","salmonella: chilled chicken fillet in pepper marinade","RASFF","0","poultry meat and poultry meat products","chilled chicken fillet in pepper marinade","chicken","Poland","Poland","salmonella","pathogenic micro-organisms","Salmonella (group O:8, in 3 out 5 samples /25g) in chilled chicken fillet in pepper marinade from Poland","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2769","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222447","2020-07-09","2020-07-08","escherichia coli: live clams (ruditapes philippinarum)","RASFF","0","bivalve molluscs and products thereof","live clams (ruditapes philippinarum)","clam","Italy","Italy","escherichia coli","microbial contaminants (other)","too high count of Escherichia coli (16000 MPN/100g) in live clams (Ruditapes philippinarum) from Italy","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2770","food",NA,NA,"Escherichia","Official","Yes","EU","EU"
"HIGH","222449","2020-07-09","2020-07-08","salmonella: hulled sesame seeds","RASFF","0","nuts, nut products and seeds","hulled sesame seeds","sesame","India","Greece","salmonella","pathogenic micro-organisms","Salmonella enterica ser. Hvittingfoss (one of out five samples /25g) in hulled sesame seeds from India","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2757","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","222450","2020-07-09","2020-07-08","salmonella: processed animal proteins for petfood","RASFF","0","feed materials","processed animal proteins for petfood","pet food","Spain","Italy","salmonella","pathogenic micro-organisms","Salmonella (in 1 out of 5 samples /25g) in processed animal proteins for petfood from Spain","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2771","feed",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222459-22459","2020-07-09","2020-07-08","Campylobacter: cliftons farm raw milk","UK_updated_FAR","0","milk and milk products","cliftons farm raw milk","farm milk","United Kingdom","United Kingdom","Campylobacter","pathogenic micro-organisms","Cliftons Farm recalls raw milk and raw cream due to contamination with campylobacter","recall","https://www.food.gov.uk/news-alerts/alert/fsa-prin-30-2020","food",NA,NA,"Cliftons Farm","Official","Yes","EU","EU"
"HIGH","222460-22459","2020-07-09","2020-07-08","Campylobacter: cliftons farm raw cream","UK_updated_FAR","0","milk and milk products","cliftons farm raw cream","farm cream","United Kingdom","United Kingdom","Campylobacter","pathogenic micro-organisms","Cliftons Farm recalls raw milk and raw cream due to contamination with campylobacter","recall","https://www.food.gov.uk/news-alerts/alert/fsa-prin-30-2020","food",NA,NA,"Cliftons Farm","Official","Yes","EU","EU"
"HIGH","222461","2020-07-09","2020-07-08","nuts: waitrose & partners slow cooked beef and ale pie","UK_updated_FAR","0","meat and meat products (other than poultry)","waitrose & partners slow cooked beef and ale pie","bakery product","United Kingdom","United Kingdom","nuts","allergens","Waitrose & Partners recalls Beef and Ale Pie because of undeclared allergens","recall","https://www.food.gov.uk/news-alerts/alert/fsa-aa-42-2020","food",NA,NA,"Waitrose & Partners","Official","Yes","EU","EU"
"HIGH","222462","2020-07-09","2020-07-08","the bacteria listeria monocytogenes: hamburger xxl drobiowo-pork 450 g","Poland_FAR","0","meat and meat products (other than poultry)","hamburger xxl drobiowo-pork 450 g","pork","Poland","Poland","the bacteria listeria monocytogenes","microbial contaminants (other)","Warning the public about food Removing the selected batch of product,Hamburger XXL drobiowo-pork and chicken Burger for detecting the presence of the bacteria Listeria monocytogenes","recall","https://gis.gov.pl/aktualnosci/wycofanie-wskazanych-partii-produktu-hamburger-xxl-drobiowo-wieprzowy-oraz-hamburger-drobiowy-ze-wzgledu-na-wykrycie-obecnosci-bakterii-listeria-monocytogenes/","food","konspol holding sp. z o.o., ul. grottgera 40, 33-300 nowy sacz",NA,"the State Inspection on Sanitary, Nowy, Burger, Veterinary, LISTERIOZA, Konspol Holding Sp, the State Sanitary Inspection, the State Inspection of Sanitary, Veterinary Inspection, XXL","Official","Yes","EU","EU"
"HIGH","222454","2020-07-09","2020-07-07","escherichia coli: live venus clams","RASFF","0","bivalve molluscs and products thereof","live venus clams","clam","Italy","Spain","escherichia coli","microbial contaminants (other)","too high count of Escherichia coli (790 MPN/100g) in live venus clams from Italy","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2762","food",NA,NA,"Escherichia","Official","Yes","EU","EU"
"HIGH","222456","2020-07-09","2020-07-07","salmonella: frozen chicken leg quarters","RASFF","0","poultry meat and poultry meat products","frozen chicken leg quarters","chicken","Poland","Bulgaria","salmonella","pathogenic micro-organisms","Salmonella enterica ser. Infantis (presence /25g) in frozen chicken leg quarters from Poland","information for follow-up","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2760","food",NA,NA,"Infantis","Official","Yes","EU","EU"
"HIGH","222457","2020-07-09","2020-07-07","salmonella: black pepper","RASFF","0.286549708","fruits and vegetables","black pepper","pepper","Brazil","Netherlands","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in black pepper from Brazil","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2752","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","222436","2020-07-08","2020-07-08","phytohaemagglutinin: red kidney beans","FSN_FAR","0","fruits and vegetables","red kidney beans","offals","Denmark","","phytohaemagglutinin","natural toxins (other)","Red kidney beans linked to poisoning cases in Denmark","outbreak","https://www.foodsafetynews.com/2020/07/red-kidney-beans-linked-to-poisoning-cases-in-denmark/","food",NA,NA,"Campylobacter, Fodevarestyrelsen, Bornholm Dairy, the Danish Veterinary and Food Administration, Food Safety News","Others","Yes","EU",""
"HIGH","222427","2020-07-08","2020-07-07","salmonella: fresh sausage campaign","Belgium_FAR","0","meat and meat products (other than poultry)","fresh sausage campaign","meat product","Belgium","Belgium","salmonella","pathogenic micro-organisms","possible presence of salmonella","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-07-07.asp","food",NA,NA,"FASFC, Newsletter, CHIPOLATA PREPARED FRESH, MERGUEZ, Postal Code Commune, VDS-Food, VDS Food SA, 06/07/2020, VDS Food Deadline, AMERICAN GROUND FRESH PREPARE, VDS Food","Official","Yes","EU","EU"
"HIGH","222428","2020-07-08","2020-07-07","allergen  milk: classic vanilla creme non-dairy frozen dessert","Canada_FAR","0","ices and desserts","classic vanilla creme non-dairy frozen dessert","dessert","Canada","Canada","allergen  milk","allergens","Updated Food Recall Warning (Allergen) - Daiya brand Classic Vanilla Creme Non-Dairy Frozen Dessert recalled due to undeclared milk","update","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-07/eng/1594148975611/1594148977142","food","daiya foods inc.","daiya","Daiya Foods Inc., Daiya","Official","Yes","non_EU","non_EU"
"HIGH","222418","2020-07-07","2020-07-07","bacillus cereus bacteria: soybean paste","New_Zealand_FAR","0","soups, broths, sauces and condiments","soybean paste","soybean","New Zealand","New Zealand","bacillus cereus bacteria","microbial contaminants (other)","Soyummy brand Dr. Fermented Bean Paste","recall","https://www.mpi.govt.nz/food-safety/food-recalls/recalled-food-products/soyummy-brand-dr-fermented-bean-paste/","food",NA,NA,"Soyummy Ltd","Official","Yes","non_EU","non_EU"
"HIGH","222399","2020-07-07","2020-07-06","the cdc morbidity and mortality weekly report: new york city chicken salmonella outbreak sickened in .","Food_Poisoning_Bulletin","0","poultry meat and poultry meat products","new york city chicken salmonella outbreak sickened in .","chicken","USA","USA","the cdc morbidity and mortality weekly report","Fraud","A New York City Chicken Salmonella Outbreak Sickened 15 in 2019","outbreak","https://foodpoisoningbulletin.com/2020/a-new-york-city-chicken-salmonella-outbreak-sickened-15-in-2019/","food",NA,NA,"Mortality Weekly Report, DOI, NYCDOHMH, the New York City Department of Health and Mental Hygiene, New York City Chicken Salmonella, Wkly Rep, WGS, CDC","Others","Yes","non_EU","non_EU"
"HIGH","222400","2020-07-07","2020-07-06","reports: natural balance ultra premium chicken and liver pate cat food","Food_Poisoning_Bulletin","0","feed materials","natural balance ultra premium chicken and liver pate cat food","pet food","USA","USA","reports","Fraud","Natural Balance Ultra Premium Chicken & Liver Pate Cat Food Recalled","recall","https://foodpoisoningbulletin.com/2020/natural-balance-ultra-premium-chicken-liver-pate-cat-food-recalled/","feed",NA,NA,"Natural Balance, Natural Balance Ultra Premium Chicken & Liver Pate Cat Food, Natural Balance Ultra Premium Chicken & Liver Pate Formula, The J.M. SMucker Company, UPC, Natural Balance Ultra Premium Chicken & Liver Pate","Others","Yes","non_EU","non_EU"
"HIGH","222403","2020-07-07","2020-07-06","listeria monocytogenes: bio alpine farmers cheese 15% fat in dry matter.","Germany_FAR","0",NA,"bio alpine farmers cheese 15% fat in dry matter.","cheese","Germany","Germany","listeria monocytogenes","microbial contaminants (other)","Warning for the product bio alpine farmers cheese 15% fat in dry matter. for it cannot be excluded that the cheese is contaminated with listeria monocytogenes.","recall","https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/52859","food",NA,NA,"Alpine","Official","Yes","EU","EU"
"HIGH","222404","2020-07-07","2020-07-06","listeria monocytogenes: konspol hamburgery z kurczaka","Ireland_FAR","0",NA,"konspol hamburgery z kurczaka","unknown","Poland","Ireland","listeria monocytogenes","microbial contaminants (other)","Recall of Konspol Chicken Burgers due to the Presence of Listeria monocytogenes","recall","https://www.fsai.ie/news_centre/food_alerts/Konspol.html","food",NA,NA,"Konspol Chicken Burgers","Official","Yes","EU","EU"
"HIGH","222406","2020-07-07","2020-07-06","lactose: lactosefree yogurt","RASFF","0","milk and milk products","lactosefree yogurt","yogurt","Greece","Italy","lactose","allergens","presence of lactose (>1 250 mg/kg - ppm) in lactose-free yogurt from Greece","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2747","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222413","2020-07-07","2020-07-06","salmonella: live mussels (mytilus galloprovincialis)","RASFF","0","bivalve molluscs and products thereof","live mussels (mytilus galloprovincialis)","mussel","Italy","Italy","salmonella","pathogenic micro-organisms","Salmonella enterica ser. Blockley (in 1 out of 5 samples /25g) in live mussels (Mytilus galloprovincialis) from Italy","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2739","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222414","2020-07-07","2020-07-06","listeria monocytogenes: pork salami","RASFF","0","meat and meat products (other than poultry)","pork salami","pork","Romania","Romania","listeria monocytogenes","microbial contaminants (other)","Listeria monocytogenes (presence /25g) in pork salami from Romania","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2735","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222405","2020-07-07","2020-07-03","elevated levels: jm smucker has recalled one lot of natural balance ultra premium chicken & liver paté formula cat food.","USA_Animal_FAR","0","feed materials","jm smucker has recalled one lot of natural balance ultra premium chicken & liver paté formula cat food.","pet food","USA","USA","elevated levels","natural toxins (other)","Natural Balance Ultra Premium Chicken & Liver Paté recall","recall","https://www.avma.org/news/recalls-alerts/natural-balancer-ultra-premium-chicken-liver-pate-recall","feed",NA,"natural balance","Natural Balance Ultra Premium Chicken & Liver Pate Formula, Natural Balance Ultra Premium Chicken & Liver Pate","Official","Yes","non_EU","non_EU"
"HIGH","222415","2020-07-07","2020-07-03","salmonella: black pepper","RASFF","0.156862745","fruits and vegetables","black pepper","pepper","Brazil","Spain","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in black pepper from Brazil","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2719","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","222394","2020-07-06","2020-07-06","hazelnuts not declared: dry sausage","France_Oulah_FAR","0","meat and meat products (other than poultry)","dry sausage","meat product","France","France","hazelnuts not declared","allergens","Recall product : dry Sausage, Organic brand Bioporc","recall","https://www.oulah.fr/rappel-produit-saucisson-sec-bio-de-marque-bioporc/","food",NA,NA,"Organic, Bioporc, Sausage","Others","Yes","EU","EU"
"HIGH","222364","2020-07-04","2020-07-03","allergen  milk: classic vanilla creme non-dairy frozen dessert","Canada_FAR","0","ices and desserts","classic vanilla creme non-dairy frozen dessert","dessert","Canada","Canada","allergen  milk","allergens","Food Recall Warning (Allergen) - Daiya brand Classic Vanilla Creme Non-Dairy Frozen Dessert recalled due to undeclared milk","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-07-03/eng/1593821653703/1593821659608","food","daiya foods inc.","daiya","Daiya, Daiya Foods Inc.","Official","Yes","non_EU","non_EU"
"HIGH","222365","2020-07-04","2020-07-03","undeclared peanuts: peanuts","Food_Poisoning_Bulletin","0","nuts, nut products and seeds","peanuts","groundnut","USA","USA","undeclared peanuts","allergens","7-Select Yogurt Pretzels Recalled For Undeclared Peanuts","recall","https://foodpoisoningbulletin.com/2020/7-select-yogurt-pretzels-recalled-for-undeclared-peanuts/","food",NA,NA,"Mount Franklin Foods, LLC, Azar Nut Company, FDA","Others","Yes","non_EU","non_EU"
"HIGH","222366","2020-07-04","2020-07-03","Campylobacter: simply bottled raw milk","Food_Poisoning_Bulletin","0","milk and milk products","simply bottled raw milk","milk","USA","USA","Campylobacter","pathogenic micro-organisms","Valley Milk Simply Bottled Raw Milk Recalled For Campylobacter in CA","recall","https://foodpoisoningbulletin.com/2020/valley-milk-simply-bottled-raw-milk-recalled-for-campylobacter-in-ca/","food",NA,NA,"California State, the California Department of Food and Agriculture, Campylobacter","Others","Yes","non_EU","non_EU"
"HIGH","222369","2020-07-04","2020-07-03","environmental contaminants: freerange eggs","Germany_FAR","0","eggs and egg products","freerange eggs","egg","Germany","Germany","environmental contaminants","industrial contaminants","Warning for the product free-range eggs for maximum levels are exceeded, environmental contaminants (dioxin-like pcbs and ndl-pcbs)","recall","https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/52831","food",NA,NA,"Herforder Str, PCBS","Official","Yes","EU","EU"
"HIGH","222371","2020-07-04","2020-07-03","presence of gluten: sprinkles","Spain_FAR","0","confectionery","sprinkles","sprinkle","China","Spain","presence of gluten","allergens","Warning to the allergic/intolerant: Presence of gluten not declared in ornaments of sugar from China. (Ref. 2020/098)","recall","http://www.aecosan.msssi.gob.es/AECOSAN/web/seguridad_alimentaria/alertas_alimentarias/2020_098.htm","food",NA,NA,"AESAN, MODECOR ITALIANA SRL, the Coordinated System of Exchange Fast of Information, the Health Authorities of Italy, the Alert Network of European Food (RASFF, Communities Autnomas, View, Information, The Agency Espaola Food Security and Nutrition","Official","Yes","non_EU","EU"
"HIGH","222372","2020-07-04","2020-07-03","listeria monocytogenes: chilled chicken hamburger","RASFF","0","poultry meat and poultry meat products","chilled chicken hamburger","chicken","Poland","Poland","listeria monocytogenes","microbial contaminants (other)","Listeria monocytogenes (in 2 out of 5 samples /25g) in chilled chicken hamburger from Poland","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2730","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222377","2020-07-04","2020-07-03","salmonella: frozen mechanically separated (msm) chicken and turkey meat","RASFF","0","poultry meat and poultry meat products","frozen mechanically separated (msm) chicken and turkey meat","chicken","France","Belgium","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in frozen mechanically separated (MSM) chicken and turkey meat from France and Germany","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2727","food",NA,NA,"MSM","Official","Yes","EU","EU"
"HIGH","222378","2020-07-04","2020-07-03","cadmium: frozen shortfin squids","RASFF","0","cephalopods and products thereof","frozen shortfin squids","squid","Argentina","Norway","cadmium","heavy metals","cadmium (2.3 mg/kg - ppm) in frozen shortfin squids from Argentina","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2726","food",NA,NA,"","Official","Yes","non_EU","non_EU"
"HIGH","222379","2020-07-04","2020-07-03","cadmium: live murex sea snails (bolinus brandaris)","RASFF","0","gastropods","live murex sea snails (bolinus brandaris)","snail","France","Spain","cadmium","heavy metals","cadmium (1.4 mg/kg - ppm) in live murex sea snails (Bolinus Brandaris) from France","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2725","food",NA,NA,"https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2725","Official","Yes","EU","EU"
"HIGH","222381","2020-07-04","2020-07-03","listeria monocytogenes: dry raw sausages","RASFF","0","meat and meat products (other than poultry)","dry raw sausages","meat product","Hungary","Romania","listeria monocytogenes","microbial contaminants (other)","Listeria monocytogenes (presence /25g) in dry raw sausages from Hungary","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2724","food",NA,NA,"","Official","Yes","EU","EU"
"HIGH","222384","2020-07-04","2020-07-03","salmonella: sesame seeds","RASFF","0","nuts, nut products and seeds","sesame seeds","sesame","Uganda","Belgium","salmonella","pathogenic micro-organisms","Salmonella (presence /25g) in sesame seeds from Uganda","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2704","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","222385","2020-07-04","2020-07-03","gluten undeclared: glutenfree sugar sprinkles","RASFF","0","confectionery","glutenfree sugar sprinkles","sugar","China","Italy","gluten undeclared","allergens","gluten (80 mg/kg - ppm) undeclared on gluten-free sugar sprinkles from China","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2716","food",NA,NA,"","Official","Yes","non_EU","EU"
"HIGH","222388","2020-07-04","2020-07-03","listeria monocytogenes: frozen salmon","RASFF","0","fish and fish products","frozen salmon","salmon","Norway","Sweden","listeria monocytogenes","microbial contaminants (other)","Listeria monocytogenes (presence /25g) in frozen salmon from Norway","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.2709","food",NA,NA,"","Official","Yes","non_EU","EU"
